label,prediksi,hasil,pasar
"Inflasi Juni < 2.5% #1",0.13,0,0.23
"BI 7DRR ditahan #2",0.40,1,0.45
"IHSG > 7500 #3",0.61,0,0.65
"USD/IDR < 16000 #4",0.74,1,0.64
"Ekspor naik QoQ #5",0.14,1,0.18
"Beras medium < 14rb #6",0.46,1,0.43
"Cadev naik #7",0.23,0,0.30
"PMI > 50 #8",0.14,0,0.21
"Defisit < 2.5% #9",0.56,1,0.49
"Upah minimum naik > 6% #10",0.54,0,0.44
"Inflasi Juni < 2.5% #11",0.18,0,0.27
"BI 7DRR ditahan #12",0.68,0,0.60
"IHSG > 7500 #13",0.03,1,0.14
"USD/IDR < 16000 #14",0.18,0,0.25
"Ekspor naik QoQ #15",0.80,1,0.82
"Beras medium < 14rb #16",0.20,0,0.20
"Cadev naik #17",0.97,1,0.77
"PMI > 50 #18",0.44,1,0.40
"Defisit < 2.5% #19",0.81,1,0.70
"Upah minimum naik > 6% #20",0.11,1,0.22
"Inflasi Juni < 2.5% #21",0.49,0,0.52
"BI 7DRR ditahan #22",0.54,0,0.56
"IHSG > 7500 #23",0.70,1,0.63
"USD/IDR < 16000 #24",0.57,0,0.66
"Ekspor naik QoQ #25",0.87,1,0.76
"Beras medium < 14rb #26",0.80,0,0.63
"Cadev naik #27",0.48,1,0.43
"PMI > 50 #28",0.08,0,0.21
"Defisit < 2.5% #29",0.97,1,0.87
"Upah minimum naik > 6% #30",0.81,0,0.79
"Inflasi Juni < 2.5% #31",0.03,0,0.05
"BI 7DRR ditahan #32",0.40,1,0.44
"IHSG > 7500 #33",0.15,1,0.33
"USD/IDR < 16000 #34",0.57,1,0.66
"Ekspor naik QoQ #35",0.42,0,0.46
"Beras medium < 14rb #36",0.15,0,0.30
"Cadev naik #37",0.10,0,0.28
"PMI > 50 #38",0.95,1,0.77
"Defisit < 2.5% #39",0.03,0,0.05
"Upah minimum naik > 6% #40",0.33,1,0.37
"Inflasi Juni < 2.5% #41",0.57,0,0.47
"BI 7DRR ditahan #42",0.24,0,0.35
"IHSG > 7500 #43",0.21,0,0.30
"USD/IDR < 16000 #44",0.07,0,0.28
"Ekspor naik QoQ #45",0.03,0,0.06
"Beras medium < 14rb #46",0.06,0,0.11
"Cadev naik #47",0.07,1,0.16
"PMI > 50 #48",0.03,0,0.16
"Defisit < 2.5% #49",0.86,0,0.78
"Upah minimum naik > 6% #50",0.03,1,0.17
"Inflasi Juni < 2.5% #51",0.57,0,0.54
"BI 7DRR ditahan #52",0.03,0,0.11
"IHSG > 7500 #53",0.83,1,0.77
"USD/IDR < 16000 #54",0.52,1,0.47
"Ekspor naik QoQ #55",0.39,1,0.39
"Beras medium < 14rb #56",0.41,1,0.54
"Cadev naik #57",0.78,0,0.78
"PMI > 50 #58",0.09,0,0.29
"Defisit < 2.5% #59",0.62,0,0.54
"Upah minimum naik > 6% #60",0.53,0,0.47
"Inflasi Juni < 2.5% #61",0.52,0,0.49
"BI 7DRR ditahan #62",0.17,0,0.23
"IHSG > 7500 #63",0.32,1,0.38
"USD/IDR < 16000 #64",0.26,0,0.34
"Ekspor naik QoQ #65",0.03,1,0.13
"Beras medium < 14rb #66",0.12,0,0.25
"Cadev naik #67",0.62,0,0.64
"PMI > 50 #68",0.23,0,0.39
"Defisit < 2.5% #69",0.83,1,0.79
"Upah minimum naik > 6% #70",0.34,0,0.30
"Inflasi Juni < 2.5% #71",0.31,0,0.31
"BI 7DRR ditahan #72",0.97,1,0.87
"IHSG > 7500 #73",0.26,0,0.33
